"pole1","pole2","pole3","pole4","pole5","pole6","pole7","pole8","pole9","pole10","key"
0,0,0,0,11,82,0,0,0,0,"南投縣南投市內新里"
0,2,0,1,76,550,0,0,0,0,"南投縣南投市內興里"
0,0,0,0,32,167,0,0,0,0,"南投縣南投市千秋里"
0,1,0,0,14,136,0,0,0,0,"南投縣南投市嘉和里"
0,2,0,0,65,496,0,0,0,0,"南投縣南投市嘉興里"
0,0,0,0,7,28,0,0,0,0,"南投縣南投市平和里"
0,0,0,0,49,397,0,0,0,0,"南投縣南投市平山里"
0,3,0,1,39,388,0,0,1,0,"南投縣南投市振興里"
0,2,0,0,37,222,0,0,0,0,"南投縣南投市新興里"
0,16,1,10,33,451,0,0,0,0,"南投縣南投市東山里"
0,0,1,3,42,251,0,0,0,0,"南投縣南投市永興里"
0,0,0,0,14,145,0,0,0,0,"南投縣南投市永豐里"
0,1,0,5,56,449,0,0,0,0,"南投縣南投市漳和里"
0,0,0,0,5,11,0,0,0,0,"南投縣南投市漳興里"
0,0,0,0,11,64,0,0,0,0,"南投縣南投市營北里"
0,0,0,0,34,209,0,0,0,0,"南投縣南投市營南里"
0,1,0,0,56,295,0,0,0,0,"南投縣南投市福山里"
0,2,0,6,69,548,0,0,0,0,"南投縣南投市福興里"
0,0,0,0,49,285,0,0,0,0,"南投縣南投市軍功里"
0,0,0,14,23,255,0,0,0,0,"南投縣南投市鳳山里"
0,0,0,0,14,138,0,0,0,0,"南投縣南投市鳳鳴里"
0,3,0,0,56,335,0,0,0,0,"南投縣名間鄉三崙村"
0,4,0,0,38,360,0,0,0,0,"南投縣名間鄉中山村"
0,1,0,0,32,229,0,0,0,0,"南投縣名間鄉中正村"
0,1,0,4,27,326,0,0,0,0,"南投縣名間鄉仁和村"
0,0,0,0,8,79,0,0,0,0,"南投縣名間鄉南雅村"
0,0,0,0,30,212,0,0,0,0,"南投縣名間鄉埔中村"
0,3,0,1,40,234,0,0,0,0,"南投縣名間鄉大坑村"
0,2,0,1,36,277,0,0,0,0,"南投縣名間鄉大庄村"
0,1,0,0,19,160,0,0,0,0,"南投縣名間鄉崁腳村"
0,3,0,1,43,204,0,0,0,0,"南投縣名間鄉廍下村"
0,1,0,0,63,401,0,0,0,0,"南投縣名間鄉新光村"
0,0,0,0,36,201,0,0,0,0,"南投縣名間鄉新厝村"
0,2,0,1,74,433,0,0,0,0,"南投縣名間鄉新民村"
0,1,0,0,74,444,0,0,0,0,"南投縣名間鄉新街村"
0,1,0,1,58,325,0,0,0,0,"南投縣名間鄉東湖村"
0,0,0,0,23,144,0,0,0,0,"南投縣名間鄉松山村"
0,0,1,0,24,133,0,0,0,0,"南投縣名間鄉松柏村"
0,2,0,0,29,251,0,0,0,0,"南投縣名間鄉濁水村"
0,4,0,0,40,339,0,0,0,0,"南投縣名間鄉炭寮村"
0,1,0,0,45,297,0,0,0,0,"南投縣名間鄉田仔村"
0,2,0,0,25,173,0,0,0,0,"南投縣名間鄉竹圍村"
0,0,0,1,39,325,0,0,0,0,"南投縣名間鄉萬丹村"
0,1,0,1,19,202,0,0,0,0,"南投縣名間鄉赤水村"
0,18,1,33,58,1173,0,0,0,0,"南投縣國姓鄉乾溝村"
0,3,0,35,53,732,0,0,0,0,"南投縣國姓鄉北山村"
0,5,0,3,131,1606,0,0,0,0,"南投縣國姓鄉北港村"
0,13,0,22,109,2244,0,0,1,0,"南投縣國姓鄉南港村"
0,3,0,10,30,521,0,0,0,0,"南投縣國姓鄉國姓村"
0,2,0,11,49,582,0,0,0,0,"南投縣國姓鄉大旗村"
0,5,0,14,26,727,0,0,0,0,"南投縣國姓鄉大石村"
0,5,0,25,40,955,0,0,0,0,"南投縣國姓鄉柑林村"
0,4,0,0,30,448,0,0,0,0,"南投縣國姓鄉石門村"
0,0,0,0,17,316,0,0,0,0,"南投縣國姓鄉福龜村"
1,4,0,4,54,820,0,0,1,0,"南投縣國姓鄉長流村"
0,4,0,11,44,662,0,0,1,0,"南投縣國姓鄉長福村"
0,35,0,61,63,1659,0,0,0,0,"南投縣國姓鄉長豐村"
0,4,0,2,78,477,0,0,0,0,"南投縣埔里鎮一新里"
0,0,0,0,11,102,0,0,0,0,"南投縣埔里鎮北安里"
0,0,0,0,20,141,0,0,0,0,"南投縣埔里鎮北梅里"
0,0,0,0,2,28,0,0,0,0,"南投縣埔里鎮北門里"
0,0,0,4,64,358,0,0,0,0,"南投縣埔里鎮南村里"
0,0,0,0,0,20,0,0,0,0,"南投縣埔里鎮南門里"
0,0,0,3,25,169,0,0,0,0,"南投縣埔里鎮史港里"
0,3,0,0,98,789,0,0,0,0,"南投縣埔里鎮合成里"
0,0,0,0,2,108,0,0,0,0,"南投縣埔里鎮同聲里"
0,1,0,0,93,529,0,0,0,0,"南投縣埔里鎮向善里"
0,0,0,0,48,245,0,0,0,0,"南投縣埔里鎮大城里"
0,1,0,0,35,170,0,0,0,0,"南投縣埔里鎮大湳里"
0,2,0,0,84,679,0,0,0,0,"南投縣埔里鎮廣成里"
0,0,0,0,18,119,0,0,0,0,"南投縣埔里鎮愛蘭里"
0,0,0,1,27,307,0,0,0,0,"南投縣埔里鎮成功里"
0,1,0,0,74,272,0,0,0,0,"南投縣埔里鎮房里里"
0,0,0,0,3,67,0,0,0,0,"南投縣埔里鎮東門里"
0,1,0,0,3,58,0,0,0,0,"南投縣埔里鎮杷城里"
0,1,0,0,72,302,0,0,0,0,"南投縣埔里鎮枇杷里"
0,6,0,4,134,1101,0,0,0,0,"南投縣埔里鎮桃米里"
0,0,0,0,112,581,0,0,0,0,"南投縣埔里鎮水頭里"
0,0,0,0,3,26,0,0,0,0,"南投縣埔里鎮泰安里"
0,1,0,0,19,188,0,0,0,0,"南投縣埔里鎮清新里"
0,1,0,1,30,192,0,0,1,0,"南投縣埔里鎮溪南里"
0,3,0,3,113,549,0,0,0,0,"南投縣埔里鎮牛眠里"
0,1,0,0,40,300,0,0,0,0,"南投縣埔里鎮珠格里"
0,5,0,0,83,442,0,0,0,0,"南投縣埔里鎮福興里"
0,0,1,0,52,210,0,0,0,0,"南投縣埔里鎮籃城里"
0,0,0,0,1,32,0,0,0,0,"南投縣埔里鎮薰化里"
0,6,1,5,108,746,0,0,0,0,"南投縣埔里鎮蜈蚣里"
0,1,0,0,13,72,0,0,0,0,"南投縣埔里鎮西門里"
0,0,0,0,29,98,0,0,0,0,"南投縣埔里鎮鐵山里"
0,2,0,1,87,581,0,0,0,0,"南投縣埔里鎮麒麟里"
0,2,0,25,59,689,0,0,1,0,"南投縣水里鄉上安村"
0,0,0,0,3,24,0,0,0,0,"南投縣水里鄉中央村"
0,0,0,0,1,13,0,0,0,0,"南投縣水里鄉北埔村"
0,1,0,0,2,22,0,0,0,0,"南投縣水里鄉南光村"
0,0,0,0,2,10,0,0,0,0,"南投縣水里鄉城中村"
0,3,0,3,27,332,0,0,0,0,"南投縣水里鄉新城村"
0,0,0,9,38,270,0,0,0,0,"南投縣水里鄉新山村"
0,0,0,31,46,533,0,0,9,0,"南投縣水里鄉新興村"
0,13,0,11,76,695,0,0,0,0,"南投縣水里鄉民和村"
0,0,0,23,13,328,0,0,0,0,"南投縣水里鄉水里村"
0,3,0,15,30,320,0,0,0,0,"南投縣水里鄉永興村"
0,1,0,4,32,257,0,0,0,0,"南投縣水里鄉永豐村"
0,6,0,18,34,810,0,0,6,0,"南投縣水里鄉玉峰村"
2,21,0,17,50,563,0,0,0,0,"南投縣水里鄉興隆村"
0,6,0,47,30,477,0,0,0,0,"南投縣水里鄉車埕村"
0,0,0,0,3,18,0,0,0,0,"南投縣水里鄉農富村"
0,7,0,35,12,321,0,0,1,0,"南投縣水里鄉郡坑村"
0,0,0,0,9,69,0,0,0,0,"南投縣水里鄉鉅工村"
0,4,0,11,76,506,0,0,2,0,"南投縣水里鄉頂崁村"
0,2,0,0,69,397,0,0,0,0,"南投縣竹山鎮下坪里"
0,1,0,0,71,259,0,0,1,0,"南投縣竹山鎮中和里"
0,0,0,1,54,460,0,0,0,0,"南投縣竹山鎮中央里"
0,0,0,0,22,188,0,0,0,0,"南投縣竹山鎮中山里"
0,0,0,0,33,191,0,0,1,0,"南投縣竹山鎮中崎里"
0,0,0,0,1,24,0,0,0,0,"南投縣竹山鎮中正里"
0,0,0,5,87,621,0,0,0,0,"南投縣竹山鎮坪頂里"
0,32,0,8,626,3759,0,0,4,0,"南投縣竹山鎮大鞍里"
0,3,0,0,29,409,0,0,0,0,"南投縣竹山鎮富州里"
0,5,0,3,60,657,0,0,0,0,"南投縣竹山鎮山崇里"
0,1,0,0,50,219,0,0,0,0,"南投縣竹山鎮延和里"
0,7,0,7,97,820,0,0,0,0,"南投縣竹山鎮延山里"
0,1,0,1,50,469,0,0,0,0,"南投縣竹山鎮延平里"
0,3,0,2,123,636,0,0,0,0,"南投縣竹山鎮延正里"
0,0,0,2,46,339,0,0,0,0,"南投縣竹山鎮延祥里"
0,0,0,0,59,364,0,0,0,0,"南投縣竹山鎮德興里"
0,0,0,6,99,690,0,0,0,0,"南投縣竹山鎮桂林里"
1,2,0,1,97,634,0,0,0,0,"南投縣竹山鎮桶頭里"
0,1,0,0,78,690,0,0,0,0,"南投縣竹山鎮瑞竹里"
0,3,0,6,122,710,0,0,0,0,"南投縣竹山鎮田子里"
0,2,0,0,14,42,0,0,0,0,"南投縣竹山鎮硘磘里"
0,2,0,4,52,275,0,0,0,0,"南投縣竹山鎮社寮里"
0,0,1,1,41,431,0,0,0,0,"南投縣竹山鎮福興里"
0,5,0,3,90,716,0,0,0,0,"南投縣竹山鎮秀林里"
0,2,0,0,19,82,0,0,0,0,"南投縣竹山鎮竹圍里"
0,0,0,0,8,104,0,0,0,0,"南投縣竹山鎮竹山里"
0,0,0,0,2,52,0,0,0,0,"南投縣竹山鎮雲林里"
0,1,0,1,75,627,0,0,0,1,"南投縣竹山鎮鯉魚里"
0,1,0,0,22,181,0,0,0,0,"南投縣草屯鎮上林里"
0,1,0,0,29,199,0,0,0,0,"南投縣草屯鎮中原里"
0,0,0,0,0,3,0,0,0,0,"南投縣草屯鎮中山里"
0,1,0,0,39,289,0,0,0,0,"南投縣草屯鎮加老里"
0,1,0,0,64,319,0,0,0,0,"南投縣草屯鎮北勢里"
0,0,0,0,44,333,0,0,0,0,"南投縣草屯鎮北投里"
0,0,0,1,72,505,0,0,0,0,"南投縣草屯鎮南埔里"
0,0,0,0,6,20,0,0,0,0,"南投縣草屯鎮和平里"
0,0,0,1,34,290,0,0,0,0,"南投縣草屯鎮土城里"
0,2,0,4,96,723,0,0,0,0,"南投縣草屯鎮坪頂里"
0,2,0,3,68,386,0,0,0,0,"南投縣草屯鎮富寮里"
0,1,0,0,27,166,0,0,0,0,"南投縣草屯鎮山腳里"
0,7,0,1,47,335,0,0,1,0,"南投縣草屯鎮平林里"
0,5,0,1,98,532,0,0,0,0,"南投縣草屯鎮御史里"
0,0,0,0,10,155,0,0,0,0,"南投縣草屯鎮復興里"
0,2,0,0,10,186,0,0,0,0,"南投縣草屯鎮敦和里"
0,0,0,0,0,1,0,0,0,0,"南投縣草屯鎮新厝里"
0,2,0,1,29,238,0,0,0,0,"南投縣草屯鎮新庄里"
0,1,0,0,61,345,0,0,0,0,"南投縣草屯鎮新豐里"
0,0,0,0,2,1,0,0,0,0,"南投縣草屯鎮明正里"
0,0,0,0,0,1,0,0,0,0,"南投縣草屯鎮炎峰里"
0,1,0,1,56,296,0,0,0,0,"南投縣草屯鎮石川里"
0,0,0,0,36,194,0,0,0,0,"南投縣草屯鎮碧峰里"
0,1,0,0,28,202,0,0,0,0,"南投縣草屯鎮碧洲里"
0,13,0,43,159,1636,0,0,0,0,"南投縣草屯鎮雙冬里"
0,0,0,1,17,85,0,0,0,0,"南投縣集集鎮八張里"
0,0,0,0,13,88,0,0,0,0,"南投縣集集鎮吳厝里"
0,2,1,2,22,304,0,0,0,0,"南投縣集集鎮和平里"
0,8,0,23,98,959,0,0,3,0,"南投縣集集鎮富山里"
0,0,0,6,67,609,0,0,0,0,"南投縣集集鎮廣明里"
0,1,0,1,28,137,0,0,1,0,"南投縣集集鎮林尾里"
0,1,0,0,14,122,0,0,0,0,"南投縣集集鎮永昌里"
0,0,0,0,5,36,0,0,0,0,"南投縣集集鎮玉映里"
0,2,0,16,55,680,0,0,10,0,"南投縣集集鎮田寮里"
0,2,0,15,7,112,0,0,3,0,"南投縣集集鎮隘寮里"
0,2,0,9,37,330,0,0,0,0,"南投縣集集鎮集集里"
0,1,0,6,30,316,0,0,0,0,"南投縣魚池鄉中明村"
0,4,0,21,86,878,0,0,0,0,"南投縣魚池鄉五城村"
0,1,0,0,76,521,0,0,0,0,"南投縣魚池鄉共和村"
0,2,0,0,60,365,0,0,0,0,"南投縣魚池鄉大林村"
0,3,0,6,41,516,0,0,0,0,"南投縣魚池鄉大雁村"
0,0,0,1,49,569,0,0,0,0,"南投縣魚池鄉新城村"
0,1,0,0,17,167,0,0,0,0,"南投縣魚池鄉日月村"
0,11,0,1,67,471,0,0,0,0,"南投縣魚池鄉東光村"
0,0,0,0,41,229,0,0,0,0,"南投縣魚池鄉東池村"
0,2,0,4,37,327,0,0,0,0,"南投縣魚池鄉武登村"
0,3,0,1,11,295,0,0,0,0,"南投縣魚池鄉水社村"
0,4,0,0,43,261,0,0,0,0,"南投縣魚池鄉頭社村"
0,1,0,0,9,91,0,0,0,0,"南投縣魚池鄉魚池村"
1,3,0,15,248,1017,0,0,0,0,"南投縣鹿谷鄉內湖村"
0,4,0,14,132,1024,0,0,0,0,"南投縣鹿谷鄉初鄉村"
0,1,0,8,75,370,0,0,0,0,"南投縣鹿谷鄉和雅村"
0,1,0,15,22,270,0,0,0,0,"南投縣鹿谷鄉廣興村"
0,4,0,31,72,433,0,0,2,0,"南投縣鹿谷鄉彰雅村"
0,0,0,27,87,747,0,0,0,0,"南投縣鹿谷鄉永隆村"
0,1,0,2,47,496,0,0,1,0,"南投縣鹿谷鄉清水村"
0,1,0,5,64,566,0,0,0,0,"南投縣鹿谷鄉瑞田村"
0,2,0,9,63,729,0,0,6,0,"南投縣鹿谷鄉秀峰村"
0,1,0,7,227,1201,0,0,3,0,"南投縣鹿谷鄉竹林村"
0,3,0,10,103,490,0,0,1,0,"南投縣鹿谷鄉竹豐村"
0,7,1,24,137,867,0,0,0,0,"南投縣鹿谷鄉鳳凰村"
0,1,0,12,64,367,0,0,0,0,"南投縣鹿谷鄉鹿谷村"
0,0,0,0,0,1,0,0,0,0,"台中市中區光復里"
0,0,0,0,0,1,0,0,0,0,"台中市中區大誠里"
0,0,0,0,0,1,0,0,0,0,"台中市北區中達里"
0,0,0,0,0,1,0,0,0,0,"台中市北區健行里"
0,0,0,0,0,1,0,0,0,0,"台中市北區光大里"
0,0,0,0,0,4,0,0,0,0,"台中市北區建德里"
0,0,0,0,1,12,0,0,0,0,"台中市北區建成里"
0,0,0,0,0,2,0,0,0,0,"台中市北區新北里"
0,0,0,0,0,1,0,0,0,0,"台中市北區新興里"
0,0,0,0,0,1,0,0,0,0,"台中市北區明新里"
0,0,0,0,0,5,0,0,0,0,"台中市北區樂英里"
0,0,0,0,0,3,0,0,0,0,"台中市北區淡溝里"
0,0,0,0,0,3,0,0,0,0,"台中市北區育德里"
0,0,0,0,0,1,0,0,0,0,"台中市北區賴厝里"
0,0,0,0,0,0,0,1,0,0,"台中市北區邱厝里"
0,0,0,0,1,0,0,0,0,0,"台中市北區錦平里"
0,0,0,0,1,1,0,0,0,0,"台中市北屯區三光里"
0,0,0,0,0,13,0,0,0,0,"台中市北屯區三和里"
0,0,0,0,1,12,0,0,0,0,"台中市北屯區仁和里"
0,0,0,0,0,4,0,0,0,0,"台中市北屯區仁愛里"
0,0,0,0,1,23,0,0,0,0,"台中市北屯區仁美里"
0,0,0,0,0,3,0,0,0,0,"台中市北屯區北京里"
0,0,0,0,0,1,0,0,0,0,"台中市北屯區北屯里"
0,0,0,0,1,7,0,0,0,0,"台中市北屯區北興里"
0,0,0,0,5,33,0,0,0,0,"台中市北屯區同榮里"
0,0,0,0,1,8,0,0,0,0,"台中市北屯區后庄里"
0,0,0,0,2,11,0,0,0,0,"台中市北屯區和平里"
0,0,0,0,0,8,0,0,0,0,"台中市北屯區四民里"
0,1,0,3,8,47,0,0,0,0,"台中市北屯區大坑里"
0,0,0,0,1,1,0,0,0,0,"台中市北屯區大德里"
0,0,0,0,0,2,0,0,0,0,"台中市北屯區平心里"
0,0,0,0,0,3,0,0,0,0,"台中市北屯區平昌里"
0,0,0,0,0,3,0,0,0,0,"台中市北屯區平興里"
0,0,0,0,0,3,0,0,0,0,"台中市北屯區平順里"
0,0,0,0,0,10,0,0,0,0,"台中市北屯區廍子里"
0,0,0,0,0,2,0,0,0,0,"台中市北屯區忠平里"
0,0,0,0,1,21,0,0,0,0,"台中市北屯區新平里"
0,0,0,0,0,10,0,0,0,0,"台中市北屯區東光里"
0,0,0,4,5,24,0,0,0,0,"台中市北屯區東山里"
0,0,0,0,0,9,0,0,0,0,"台中市北屯區松勇里"
0,0,0,0,1,18,0,0,0,0,"台中市北屯區松和里"
0,0,0,0,0,11,0,0,0,0,"台中市北屯區松安里"
0,0,0,0,1,10,0,0,0,0,"台中市北屯區松強里"
0,0,0,0,2,19,0,0,0,0,"台中市北屯區松竹里"
0,0,0,0,1,11,0,0,0,0,"台中市北屯區松茂里"
0,0,0,9,24,274,0,0,0,0,"台中市北屯區民德里"
0,2,0,1,4,35,0,0,1,0,"台中市北屯區民政里"
0,0,0,0,0,8,0,0,0,0,"台中市北屯區水景里"
0,0,0,0,0,2,0,0,0,0,"台中市北屯區水湳里"
0,0,0,0,1,16,0,0,0,0,"台中市北屯區舊社里"
0,0,0,0,1,21,0,0,0,0,"台中市北屯區軍功里"
0,0,0,0,0,3,0,0,0,0,"台中市北屯區陳平里"
0,0,0,0,0,4,0,0,0,0,"台中市南區南和里"
0,0,0,0,0,3,0,0,0,0,"台中市南區崇倫里"
0,0,0,0,0,3,0,0,0,0,"台中市南區工學里"
0,0,0,0,1,4,0,0,0,0,"台中市南區平和里"
0,0,0,0,2,13,0,0,0,0,"台中市南區樹德里"
0,1,0,0,2,18,0,0,0,0,"台中市南區樹義里"
0,0,0,0,0,6,0,0,0,0,"台中市南區永和里"
0,0,0,0,3,5,0,0,0,0,"台中市南區永興里"
0,0,0,0,0,1,0,0,0,0,"台中市南區江川里"
0,0,0,0,1,6,0,0,0,0,"台中市南區積善里"
0,0,0,0,1,4,0,0,0,0,"台中市南屯區三厝里"
0,0,0,0,0,2,0,0,0,0,"台中市南屯區三義里"
0,0,0,0,1,27,0,0,0,0,"台中市南屯區中和里"
0,0,0,0,0,17,0,0,0,0,"台中市南屯區南屯里"
0,0,0,0,2,83,0,0,0,0,"台中市南屯區寶山里"
0,2,0,0,4,35,0,0,0,0,"台中市南屯區文山里"
0,0,0,0,1,11,0,0,0,0,"台中市南屯區新生里"
0,0,0,0,1,4,0,0,0,0,"台中市南屯區春安里"
0,0,0,0,7,77,0,0,0,0,"台中市南屯區春社里"
0,0,0,0,9,76,0,0,0,0,"台中市南屯區楓樹里"
0,0,0,0,1,14,0,0,0,0,"台中市南屯區永定里"
0,0,0,0,1,8,0,0,0,0,"台中市南屯區豐樂里"
0,0,0,0,2,21,0,0,0,0,"台中市南屯區鎮平里"
0,0,0,0,2,9,0,0,0,0,"台中市南屯區黎明里"
0,0,0,0,2,78,0,0,0,0,"台中市后里區中和里"
0,2,0,21,20,299,0,0,1,0,"台中市后里區仁里里"
0,1,0,0,51,518,0,0,1,0,"台中市后里區公館里"
0,0,0,2,6,179,0,0,0,0,"台中市后里區厚里里"
0,0,0,0,22,264,0,0,0,0,"台中市后里區后里里"
0,0,0,0,11,177,0,0,0,0,"台中市后里區墩北里"
0,0,0,0,23,292,0,0,0,0,"台中市后里區墩南里"
0,0,0,0,1,52,0,0,0,0,"台中市后里區墩東里"
0,0,0,0,1,24,0,0,0,0,"台中市后里區墩西里"
0,0,0,0,35,427,0,0,0,0,"台中市后里區太平里"
0,2,0,20,43,582,0,0,0,0,"台中市后里區廣福里"
0,0,1,1,25,396,0,0,0,0,"台中市后里區月眉里"
0,0,0,4,21,210,0,0,0,0,"台中市后里區泰安里"
0,0,0,0,13,334,0,0,0,0,"台中市后里區眉山里"
0,0,0,0,1,62,0,0,0,0,"台中市后里區義德里"
0,0,0,0,8,148,0,0,0,0,"台中市后里區義里里"
0,0,0,0,12,291,0,0,0,0,"台中市后里區聯合里"
0,0,0,0,26,409,0,0,0,0,"台中市后里區舊社里"
0,13,0,54,20,713,0,0,2,0,"台中市和平區中坑里"
0,10,0,95,36,538,0,0,10,0,"台中市和平區南勢里"
1,60,5,111,148,889,0,0,5,0,"台中市和平區博愛里"
0,27,2,108,55,730,0,0,23,0,"台中市和平區天輪里"
0,19,3,220,25,844,0,0,18,0,"台中市和平區平等里"
0,56,2,497,84,1454,0,0,95,0,"台中市和平區梨山里"
0,18,1,79,37,742,0,0,10,0,"台中市和平區自由里"
0,7,1,139,43,943,0,0,4,0,"台中市和平區達觀里"
0,0,0,0,28,329,0,0,0,0,"台中市外埔區三崁里"
0,0,0,0,9,98,0,0,0,0,"台中市外埔區中山里"
0,0,0,1,32,306,0,0,0,0,"台中市外埔區六分里"
0,0,0,0,16,167,0,0,0,0,"台中市外埔區土城里"
0,1,0,0,12,154,0,0,0,0,"台中市外埔區大同里"
0,1,0,0,10,129,0,0,0,0,"台中市外埔區大東里"
0,0,0,0,18,169,0,0,0,0,"台中市外埔區廍子里"
0,1,0,0,34,257,0,0,0,0,"台中市外埔區水美里"
0,0,0,0,26,302,0,0,0,0,"台中市外埔區永豐里"
0,0,0,1,22,169,0,0,0,0,"台中市外埔區鐵山里"
0,0,0,0,19,153,0,0,0,0,"台中市外埔區馬鳴里"
0,0,0,0,9,181,0,0,0,0,"台中市大安區中庄里"
0,0,0,0,15,144,0,0,0,0,"台中市大安區南埔里"
0,0,0,0,11,92,0,0,0,0,"台中市大安區南庄里"
0,0,0,0,14,159,0,0,0,0,"台中市大安區東安里"
0,0,0,0,7,105,0,0,0,0,"台中市大安區松雅里"
0,0,0,0,20,236,0,0,0,0,"台中市大安區永安里"
0,0,0,0,9,111,0,0,0,0,"台中市大安區海墘里"
0,0,0,0,6,153,0,0,0,0,"台中市大安區福住里"
0,0,0,0,9,85,0,0,0,0,"台中市大安區福興里"
0,1,0,0,5,257,0,0,0,0,"台中市大安區西安里"
0,0,0,0,20,199,0,0,0,0,"台中市大安區頂安里"
0,0,0,0,8,146,0,0,0,0,"台中市大安區龜壳村"
0,0,0,0,3,97,0,0,0,0,"台中市大甲區中山里"
0,0,0,0,2,28,0,0,0,0,"台中市大甲區南陽里"
0,0,0,0,1,13,0,0,0,0,"台中市大甲區大甲里"
0,2,0,0,71,399,0,0,0,0,"台中市大甲區太白里"
0,0,0,0,3,61,0,0,0,0,"台中市大甲區奉化里"
0,0,0,0,3,27,0,0,0,0,"台中市大甲區孔門里"
0,2,0,0,50,271,0,0,0,0,"台中市大甲區孟春里"
0,0,0,0,4,38,0,0,0,0,"台中市大甲區岷山里"
0,1,0,0,1,33,0,0,0,0,"台中市大甲區平安里"
0,4,0,1,161,715,0,0,0,0,"台中市大甲區幸福里"
0,0,0,0,0,67,0,0,0,0,"台中市大甲區庄美里"
0,0,0,1,92,405,0,0,0,0,"台中市大甲區建興里"
0,0,0,0,15,254,0,0,0,0,"台中市大甲區德化里"
0,0,0,0,11,105,0,0,0,0,"台中市大甲區文曲里"
0,0,0,0,8,83,0,0,0,0,"台中市大甲區文武里"
0,0,0,0,3,60,0,0,0,0,"台中市大甲區新美里"
0,2,0,0,39,158,0,0,4,0,"台中市大甲區日南里"
0,0,0,0,0,26,0,0,0,0,"台中市大甲區朝陽里"
